GitHub Repo,domain,Lines of Code,Stars,Commits,Contributor Count,Project Size,unused-argument,no-member,protected-access,no-self-use,too-many-arguments,redefined-outer-name,too-many-locals,unsubscriptable-object,syntax-error,too-few-public-methods,attribute-defined-outside-init,abstract-method,no-else-return,unused-variable,fixme,too-many-instance-attributes,redefined-builtin,arguments-differ,logging-fstring-interpolation,no-value-for-parameter,Total_Python_Smells,Python_Smell_Density
magenta/ddsp,Domain-Specific Applications,9882,3115,472,26,small,0,13,0,13,63,0,33,0,0,12,27,3,35,0,13,11,0,85,0,36,344,34.81076705120421
magenta/magenta,Domain-Specific Applications,44690,19667,1425,143,large,0,198,0,69,186,0,192,3,0,84,102,46,77,0,49,31,0,14,0,0,1051,23.517565450883865
MAIF/melusine,Natural Language Processing,7613,360,806,26,small,35,1,3,4,10,19,1,0,0,3,0,0,5,14,0,2,0,6,27,0,130,17.07605411795613
MarkUsProject/Markus,Domain-Specific Applications,1705,267,16658,177,small,0,10,0,0,0,0,0,0,3,11,1,0,10,0,1,0,12,0,0,0,48,28.1524926686217
masa-su/pixyz,ML Frameworks / Libraries,5683,499,901,11,small,34,0,15,30,33,87,26,0,0,43,8,14,12,109,11,4,5,27,0,0,458,80.59123702269929
MIC-DKFZ/nnUNet,Computer Vision,14017,7341,1773,77,medium,15,7,23,6,142,78,62,6,0,17,6,8,14,34,15,8,8,11,0,0,460,32.81729328672327
michaelhush/M-LOOP,Data Science / Traditional ML,4607,167,655,11,small,12,13,8,2,13,1,7,0,0,4,50,0,5,10,4,17,1,0,2,0,149,32.34208812676362
microsoft/ai-edu,Domain-Specific Applications,31803,13977,694,58,large,119,134,9,126,209,1331,103,29,0,103,937,1,94,266,3,133,132,24,0,4,3757,118.13350941735057
microsoft/botbuilder-python,ML Frameworks / Libraries,47236,764,1826,68,large,26,35,0,212,119,12,27,8,0,429,12,0,1,5,112,36,86,0,0,0,1120,23.710729104919974
microsoft/DeepSpeed,ML Frameworks / Libraries,96442,40233,2931,409,large,637,539,481,599,511,249,375,26,0,349,271,203,356,475,192,119,228,186,257,48,6101,63.260819974699814
microsoft/hummingbird,ML Frameworks / Libraries,14949,3481,481,35,medium,138,343,56,89,67,27,27,0,0,16,4,0,42,21,8,9,17,7,0,0,871,58.2647668740384
microsoft/MMdnn,ML Frameworks / Libraries,27846,5813,1085,65,large,97,543,149,46,39,75,46,0,2,15,54,5,76,125,56,5,35,46,0,12,1426,51.21022768081591
microsoft/Windows-Machine-Learning,ML Frameworks / Libraries,562,1097,1731,47,small,0,1,0,0,0,11,2,0,0,0,0,0,1,0,1,1,2,0,0,1,20,35.587188612099645
mindsdb/mindsdb,Natural Language Processing,134139,36195,19670,791,large,340,304,117,690,93,202,168,113,78,312,98,1025,208,62,211,59,275,131,792,7,5285,39.399428950566204
MIPT-Oulu/solt,Computer Vision,4768,265,443,6,small,0,80,0,2,15,123,3,0,0,3,0,4,7,10,0,0,1,0,0,1,249,52.2231543624161
MITK/MITK,Domain-Specific Applications,55,776,46189,61,small,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
mittagessen/kraken,Computer Vision,13974,888,2290,27,medium,85,3,15,15,56,18,63,182,0,10,53,1,31,34,5,26,70,1,177,79,924,66.12279948475741
mlflow/mlflow,MLOps / Deployment,320527,22264,8857,849,large,1265,1792,4136,442,472,2257,291,2377,405,598,85,94,460,117,184,58,92,63,354,97,15639,48.791521463090476
mljar/mljar-supervised,Data Science / Traditional ML,19321,3205,1239,27,medium,42,184,168,61,50,5,44,1,0,16,32,0,23,77,3,24,1,3,52,0,786,40.681124165415866
mlmed/torchxrayvision,Computer Vision,6002,1062,414,9,small,12,23,4,5,43,5,10,0,0,3,1,0,11,39,7,23,5,2,0,0,193,32.15594801732756
mlperf/inference,ML Frameworks / Libraries,52082,1467,1824,113,large,87,351,7,125,204,99,183,2,0,39,127,11,60,172,55,72,43,20,127,23,1807,34.6952881993779
mlperf/training,ML Frameworks / Libraries,78482,1715,379,62,large,218,929,166,100,425,144,307,22,1,129,55,111,153,183,141,104,34,90,68,68,3448,43.93364083484111
mozilla/bugbug,Natural Language Processing,28261,547,6468,111,large,37,34,4,39,18,128,61,277,0,139,9,3,37,23,88,8,6,15,43,1,970,34.32291850960688
mozilla/DeepSpeech,ML Frameworks / Libraries,8842,26614,3467,128,small,4,38,0,3,20,7,36,1,0,17,0,0,1,16,4,2,16,0,0,10,175,19.791902284551007
mpariente/asteroid,ML Frameworks / Libraries,19013,2462,918,54,medium,51,5,7,20,82,87,90,0,0,21,4,7,22,106,10,33,9,5,0,4,563,29.611318571503705
namisan/mt-dnn,Natural Language Processing,13012,2255,582,17,medium,54,14,18,9,81,49,63,1,0,2,31,33,20,49,10,23,17,23,29,1,527,40.501075929910854
nanoporetech/medaka,Domain-Specific Applications,13952,482,1494,18,medium,23,21,70,23,42,5,60,0,0,18,27,2,24,69,29,14,6,12,34,2,481,34.475344036697244
NLeSC/mcfly,Domain-Specific Applications,1749,365,936,15,small,4,43,21,31,13,0,5,0,0,1,0,0,0,0,3,0,1,0,0,0,122,69.75414522584333
norse/norse,ML Frameworks / Libraries,14090,759,412,24,medium,39,4,27,2,67,16,35,0,0,3,2,76,12,20,1,14,21,40,4,0,383,27.182398864442867
nussl/nussl,Domain-Specific Applications,15649,640,1030,10,medium,50,0,72,20,55,115,51,0,0,16,18,19,10,85,7,17,2,10,1,0,548,35.01821202632756
nutonomy/nuscenes-devkit,Domain-Specific Applications,14748,2566,238,37,medium,7,0,23,27,97,14,82,0,0,16,2,2,41,25,0,19,2,1,0,0,358,24.274477895307836
NVIDIA/DeepLearningExamples,Natural Language Processing,294144,14500,1437,104,large,630,4215,640,654,1533,360,1241,6,3,653,518,220,564,515,331,412,400,359,757,786,14797,50.30529264577894
NVIDIA/Megatron-LM,Natural Language Processing,135466,13712,7253,177,large,528,146,391,418,438,221,429,180,21,162,362,207,254,260,222,164,100,143,280,63,4989,36.82842927376611
NVIDIA/NeMo,Natural Language Processing,422797,15770,8996,435,large,1235,495,1019,2893,1851,2028,1451,523,100,368,814,330,590,720,376,664,407,416,217,89,16586,39.22922821117463
NVIDIA/TRTorch,ML Frameworks / Libraries,91885,2865,4650,101,large,692,148,626,1056,395,285,159,42,1,97,139,0,197,105,91,17,765,11,257,5,5088,55.37356478206454
NVIDIAGameWorks/kaolin,ML Frameworks / Libraries,42464,4911,386,29,large,183,9,110,974,298,320,204,0,0,26,21,73,76,220,148,16,26,37,24,0,2765,65.11397889977393
onnx/onnxmltools,ML Frameworks / Libraries,25210,1113,336,46,medium,21,74,22,60,93,5,73,0,0,19,17,0,32,73,5,5,40,7,0,1,547,21.697738992463307
onnx/tensorflow-onnx,ML Frameworks / Libraries,61422,2480,2947,97,large,51,241,11,64,179,66,288,4,0,191,163,0,17,86,51,32,72,15,0,48,1579,25.70740125687864
opencv/cvat,Computer Vision,94933,14466,5486,259,large,459,129,80,485,245,94,134,501,31,525,165,21,133,0,65,14,9,6,22,0,3118,32.844216447389215
opencv/open_model_zoo,ML Frameworks / Libraries,91679,4297,8757,163,large,182,323,13,613,302,19,425,11,0,78,743,3,29,32,6,148,91,159,5,5,3187,34.7625955780495
opencv/openvino_training_extensions,Computer Vision,70685,1203,1417,37,large,233,45,437,1378,399,754,190,311,39,315,39,175,3,26,107,88,12,87,94,6,4738,67.02978000990309
OpenMined/PySyft,ML Frameworks / Libraries,74198,9783,35229,72,large,353,185,207,166,111,436,74,1223,3,192,21,26,212,34,247,20,55,20,147,18,3750,50.54044583411952
open-mmlab/mmcv,Computer Vision,27143,6271,1467,263,large,48,35,62,150,149,25,68,0,0,29,9,224,67,15,4,19,118,110,0,9,1141,42.03662085989021
open-mmlab/mmdetection,Computer Vision,161864,31732,2706,425,large,182,523,74,254,766,64,673,0,0,174,167,18,114,243,203,174,55,251,2,1,3938,24.329066376711314
OpenNMT/OpenNMT-py,Natural Language Processing,26821,6941,2895,170,medium,55,32,118,45,91,42,72,3,0,38,75,18,44,54,12,31,20,34,37,0,821,30.610342641959658
openvinotoolkit/model_server,MLOps / Deployment,13305,769,3155,47,medium,75,7,18,104,26,93,30,1,0,22,30,1,5,31,0,6,22,2,17,1,491,36.903419767004884
