GitHub Repo,Engineered ML Project,Stars,Commits,Lines of Code,Architecture,Community,Continuous Integration,Documentation,History,Issues,License,Unit Testing,Last Commit Date
Unity-Technologies/ml-agents,Y,18685,3541,27918,The source code of this project has been organised into different modules in a way that shows the relationship between different files but quite messy,https://github.com/Unity-Technologies/ml-agents/graphs/contributors shows that there are multiple contributors,The project uses Circle CI,There is a well-maintained documentation,Evidence of sustained commit activity,"The project maintainers respond to issues, as evidenced by https://github.com/Unity-Technologies/ml-agents/issues/4141 and https://github.com/Unity-Technologies/ml-agents/issues/4112",https://github.com/Unity-Technologies/ml-agents/blob/master/LICENSE is provided.,There are files related to testing,2025-09-17
urduhack/urduhack,Y,300,128,5688,The source code of this project has been organised into different modules in a way that shows the relationship between different files. https://github.com/tensorflow/privacy/tree/master/tensorflow_privacy/privacy,"2 has significantly more commits than others, but 6 contributers",Travis used,Documentation provided,"Recent, Commit activity not negligible",all closed,License provided,X 2,2023-04-27
vaexio/vaex,Y,8432,3712,63938,Organised but not in modules,"1 has significantly more commits than others, but 23 contributers",Travis used,Documentation provided,Commit activity not negligible,154 open < 291 closed,License provided,There are many files related to testing. https://github.com/tensorflow/io/tree/master/tests,2025-09-03
VainF/pytorch-msssim,N,1200,155,700,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/VainF/pytorch-msssim/graphs/contributors shows that there are multiple contributors but mainly 1,CI is not used on the project.,There is a well-maintained documentation,No evidence of sustained commit activity,"The project author respond to issues, as evidenced by https://github.com/VainF/pytorch-msssim/issues/17 and https://github.com/VainF/pytorch-msssim/issues/16",https://github.com/VainF/pytorch-msssim/blob/master/LICENSE is provided.,There are many files related to testing,2023-08-16
vanvalenlab/deepcell-tf,Y,465,421,14131,Organised but not in modules,"1 has significantly more commits than others, but 12 contributers",Travis used,Documentation provided,"Recent, Commit activity not negligible",29 open << 120 closed,License provided,X Doesn't seem to have unit test,2024-08-30
veaba/ncov,N,249,167,409,Organised but not in modules and few files,"1 main contributer, the other has 1 commit",X CI is not used on the project.,in chinese,Commit activity not negligible,17 open > 7 closed,License provided,X Doesn't seem to have unit test,2022-12-11
VertaAI/modeldb,Y,1740,4114,111928,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/VertaAI/modeldb/graphs/contributors shows that there are multiple contributors,CI is not used on the project.,There is a well-maintained documentation,Evidence of sustained commit activity,"The project maintainers respond to issues, as evidenced by https://github.com/VertaAI/modeldb/issues/564 and https://github.com/VertaAI/modeldb/issues/259 but a lot issues left open",https://github.com/VertaAI/modeldb/blob/master/DEPLOY.md is provided.,There are many files related to testing,2024-04-25
vespa-engine/sample-apps,Y,380,5644,11979,The source code of this project has been organised into different modules in a way that shows the relationship between different files. https://github.com/tensorflow/privacy/tree/master/tensorflow_privacy/privacy,around 14 have significant contributions,Travis used,Documentation provided,"Recent, Commit activity not negligible",no issues,License provided,X Doesn't seem to have unit test,2025-09-24
videoflow/videoflow,Y,1029,507,2650,The source code of this project has been organised into different modules in a way that shows the relationship between different files. https://github.com/tensorflow/privacy/tree/master/tensorflow_privacy/privacy,"1 has significantly more commits than others, 3 contributers",Travis used,Documentation provided,Commits are quite spread out,15 open < 34 closed,License provided,A number,2022-01-20
vita-epfl/monoloco,Y,453,297,6421,Organised but not in modules,"2 has significantly more commits than others, but 11 contributers",Travis used,Documentation provided,Commits are quite spread out,1 open << 11 closed,License provided,A number,2021-09-09
vita-epfl/openpifpaf,Y,91,1746,19893,Organised but not in modules,"1 has significantly more commits than others, 3 contributers",Travis used,Documentation provided,Commit activity not negligible,7 open << 113 closed,License provided,A number,2024-03-14
vwxyzjn/cleanrl,N,7945,841,12634,X The source code of the project exists as ad-hoc scripts.,"1 has significantly more commits than others, 2 contributers",X CI is not used on the project.,Documentation provided,"Recent, Commit activity not negligible",3 open < 7 closed,License provided,A number,2025-07-08
wandb/client,Y,10367,8446,217482,The source code of this project has been organised into different modules,about 11 active contributors,CircleCI used,Documentation provided,"Recent, Commit activity not negligible",207 open < 354 closed,License provided,There are many files related to testing. https://github.com/tensorflow/io/tree/master/tests,2025-09-27
wandb/examples,N,1181,1003,7128,X The source code of the project exists as ad-hoc scripts in folders,Yes,X CI is not used on the project.,X not much,Commits are quite spread out,3 open > 1 closed,"X There is no license to be found, either in the form of a license file or written inside the source code file.",X 1,2025-09-23
wikipedia2vec/wikipedia2vec,Y,956,333,4481,X The source code of the project exists as ad-hoc scripts in folders,"1 has significantly more commits than others, 30 contributers",CircleCI used,X not much,Commits are quite spread out,all closed,License provided,A few,2024-01-11
wjmaddox/swa_gaussian,N,472,346,7291,The experiments of this project has been organised into different modules,"2 has significantly more commits than others, 6 contributers",X CI is not used on the project.,X Most of the functions in the source code are not documented.,about 1+ per month,2 open < 7 closed,License provided,X 2,2023-01-04
wubinzzu/NeuRec,N,1059,217,6930,Organised but not in modules,"1 has significantly more commits than others, 3 contributers",Travis used,X Most of the functions in the source code are not documented.,Commit activity not negligible,8 open < 10 closed,License provided,X Doesn't seem to have unit test,2021-11-26
x4nth055/pythoncode-tutorials,N,2913,641,41945,The source code of this project has been organised into different modules in a way that shows the relationship between different files. https://github.com/tensorflow/privacy/tree/master/tensorflow_privacy/privacy,X There are no contributors to the project other than the author.,X CI is not used on the project.,Tutorials provided,"Recent, Commit activity not negligible",5 open < 7 closed,License provided,X Doesn't seem to have unit test,2025-09-28
