GitHub Repo,Engineered ML Project,Stars,Commits,Lines of Code,Architecture,Community,Continuous Integration,Documentation,History,Issues,License,Unit Testing,Last Commit Date,Branch Count,Contributor Count,domain,age_days,CI_Status
limbo018/DREAMPlace,Y,866,787,14304,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/limbo018/DREAMPlace/graphs/contributors shows that there are multiple contributors,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a well-maintained README, and the majority of the functions in https://github.com/limbo018/DREAMPlace/blob/master/dreamplace/BasicPlace.py and https://github.com/limbo018/DREAMPlace/blob/master/dreamplace/Params.py and https://github.com/limbo018/DREAMPlace/blob/master/dreamplace/EvalMetrics.py have appropriate docstrings",https://github.com/limbo018/DREAMPlace/graphs/commit-activity shows there has been activities in the past few months consistently,"The project maintainers respond to issues, as evidenced by https://github.com/limbo018/DREAMPlace/issues/24 and https://github.com/limbo018/DREAMPlace/issues/23",https://github.com/limbo018/DREAMPlace/blob/master/LICENSE,There are many files related to testing,2025-09-27,20,24,ML Frameworks / Libraries,2470,No
lsds/KungFu,Y,298,384,7566,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/lsds/KungFu/graphs/contributors shows that there are multiple contributors,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",There is a well-maintained README but Most of the functions in the source code are not documented.,https://github.com/lsds/KungFu/graphs/commit-activity shows there has been activities in the past few months consistently,"The project maintainers respond to issues, as evidenced byhttps://github.com/lsds/KungFu/issues/304 and https://github.com/loujie0822/DeepIE/issues/27",https://github.com/lsds/KungFu/blob/master/LICENSE,There are many files related to testing,2024-02-23,41,7,ML Frameworks / Libraries,2531,Yes
magenta/ddsp,Y,3115,472,9882,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/magenta/ddsp/graphs/contributors shows there are multiple contributors,CI is not used on the project,"There is a well-maintained README, and the majority of the functions in https://github.com/magenta/ddsp/blob/master/ddsp/effects.py and https://github.com/magenta/ddsp/blob/master/ddsp/losses.py and https://github.com/magenta/ddsp/blob/master/ddsp/processors.py have appropriate docstrings",https://github.com/magenta/ddsp/graphs/commit-activity shows there have been activities in the past few months,"The project maintainers respond to issues, as evidenced by https://github.com/magenta/ddsp/issues/147 and https://github.com/magenta/ddsp/issues/145",https://github.com/magenta/ddsp/blob/master/LICENSE,There are many files related to testing,2024-09-23,18,26,Domain-Specific Applications,2150,Yes
magenta/magenta,Y,19667,1425,44690,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/magenta/magenta/graphs/contributors shows there are multiple contributors,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a well-maintained README, and the majority of the functions in https://github.com/magenta/magenta/blob/master/magenta/models/melody_rnn/melody_rnn_config_flags.py and https://github.com/magenta/magenta/blob/master/magenta/models/melody_rnn/melody_rnn_pipeline.py and https://github.com/magenta/magenta/blob/master/magenta/models/nsynth/reader.py have appropriate docstrings",https://github.com/magenta/magenta/graphs/commit-activity shows there have been activities in the past few months consistently,"The project maintainers respond to issues, as evidenced by https://github.com/magenta/magenta/issues/1759 and https://github.com/magenta/magenta/issues/1757",https://github.com/magenta/magenta/blob/master/LICENSE,there is no evidence of any testing done on the project.,2025-07-08,10,143,Domain-Specific Applications,3499,Yes
MAIF/melusine,Y,360,806,7613,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/MAIF/melusine/graphs/contributors shows that there are multiple contributors,The project uses Travis CI,There is a well-maintained documentation,Little evidence of sustained commit activity,"The project maintainers respond to issues, as evidenced by https://github.com/MAIF/melusine/issues/1 and https://github.com/MAIF/melusine/issues/5 however there are only 4 issues raised in total",https://github.com/MAIF/melusine/blob/master/LICENSE is provided.,There are many files related to testing.,2025-01-23,3,26,Natural Language Processing,2480,Yes
MarkUsProject/Markus,Y,267,16658,1705,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/MarkUsProject/Markus/graphs/contributors shows that there are multiple contributors,The project uses Travis CI,There is a well-maintained documentation,Evidence of sustained commit activity,"The project maintainers respond to issues, as evidenced by https://github.com/MarkUsProject/Markus/issues/4710 and https://github.com/MarkUsProject/Markus/issues/4473",https://github.com/MarkUsProject/Markus/blob/master/LICENSE is provided.,There are many files related to testing but its everywhere,2025-09-27,34,177,Domain-Specific Applications,5547,Yes
masa-su/pixyz,Y,499,901,5683,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/masa-su/pixyz/graphs/contributors shows that there are multiple contributors but mainly 1,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a well-maintained README, and the majority of the functions in https://github.com/masa-su/pixyz/blob/master/pixyz/utils.py and https://github.com/masa-su/pixyz/blob/master/pixyz/layers/resnet.py and https://github.com/masa-su/pixyz/blob/master/pixyz/losses/elbo.py have appropriate docstrings",https://github.com/masa-su/pixyz/graphs/commit-activity shows that there have been activities in the past few months,"The project maintainers respond to issues, as evidenced by https://github.com/masa-su/pixyz/issues/111 and https://github.com/masa-su/pixyz/issues/101",https://github.com/masa-su/pixyz/blob/master/LICENSE,there is no evidence of any testing done on the project.,2025-09-22,16,11,ML Frameworks / Libraries,2739,Yes
MIC-DKFZ/nnUNet,Y,7341,1773,14017,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/MIC-DKFZ/nnUNet/graphs/contributors shows that there are multiple contributors but mainly 1,CI is not used on the project.,There is a well-maintained documentation,Evidence of sustained commit activity but not last month,"The project maintainers respond to issues, as evidenced by https://github.com/MIC-DKFZ/nnUNet/issues/239 and https://github.com/MIC-DKFZ/nnUNet/issues/212",https://github.com/MIC-DKFZ/nnUNet/blob/master/LICENSE is provided.,Only managed to find 1 file related to testing,2025-08-15,6,77,Computer Vision,2422,Yes
michaelhush/M-LOOP,Y,167,655,4607,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/michaelhush/M-LOOP/graphs/contributors shows that there are multiple contributors,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a well-maintained README, and the majority of the functions in https://github.com/michaelhush/M-LOOP/blob/master/mloop/interfaces.py and https://github.com/michaelhush/M-LOOP/blob/master/mloop/controllers.py and https://github.com/michaelhush/M-LOOP/blob/master/mloop/neuralnet.py have appropriate docstrings",https://github.com/michaelhush/M-LOOP/graphs/commit-activity shows that there have been activities in the past month,"The project maintainers respond to issues, as evidenced by https://github.com/michaelhush/M-LOOP/issues/40 and https://github.com/michaelhush/M-LOOP/issues/38",https://github.com/michaelhush/M-LOOP/blob/master/LICENSE.txt,There are many files related to testing,2025-09-16,2,11,Data Science / Traditional ML,3794,Yes
microsoft/ai-edu,N,13977,694,31803,The source code of this project has been organised into different modules in a way that shows the relationship between different files,https://github.com/microsoft/ai-edu/graphs/contributors shows that there are multiple contributors,CI is not used on the project,There is a well-maintained README but most of the functions in the source code are not documented.,https://github.com/microsoft/ai-edu/graphs/commit-activity shows that there have been activities in the past few months consistently,"The project maintainers respond to issues, as evidenced by https://github.com/microsoft/ai-edu/issues/501 and https://github.com/microsoft/ai-edu/issues/487",https://github.com/microsoft/ai-edu/blob/master/LICENSE.md,there is no evidence of any testing done on the project.,2024-05-16,14,58,Domain-Specific Applications,2574,Yes
microsoft/botbuilder-python,Y,764,1826,47236,The source code of this project has been organised into different modules in a way that shows the relationship between different files,https://github.com/microsoft/botbuilder-python/graphs/contributors shows that there are multiple contributors,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a well-maintained README, and the majority of the functions in https://github.com/microsoft/botbuilder-python/blob/master/libraries/botbuilder-ai/botbuilder/ai/luis/luis_recognizer.py and https://github.com/microsoft/botbuilder-python/blob/master/libraries/botbuilder-applicationinsights/botbuilder/applicationinsights/application_insights_telemetry_client.py and https://github.com/microsoft/botbuilder-python/blob/master/libraries/botbuilder-core/botbuilder/core/activity_handler.py have appropriate docstrings",https://github.com/microsoft/botbuilder-python/graphs/commit-activity shows that there have been activities in the past few months consistently,"The project maintainers respond to issues, as evidenced by https://github.com/microsoft/botbuilder-python/issues/1236 and https://github.com/microsoft/botbuilder-python/issues/1235",https://github.com/microsoft/botbuilder-python/blob/master/LICENSE,There are many files related to testing,2025-05-28,21,68,ML Frameworks / Libraries,2884,Yes
microsoft/DeepSpeed,Y,40233,2931,96442,The source code of this project has been organised into different modules in a way that shows the relationship between different files with ad hoc scripts,https://github.com/microsoft/DeepSpeed/graphs/contributors shows there are multiple contributors,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",There is a well-maintained README but most of the functions in the source code are not documented.,https://github.com/microsoft/DeepSpeed/graphs/commit-activity shows there have been activities in the past few months,"The project maintainers respond to issues, as evidenced by https://github.com/microsoft/DeepSpeed/issues/279 and https://github.com/microsoft/DeepSpeed/issues/274",https://github.com/microsoft/DeepSpeed/blob/master/LICENSE,There are many files related to testing,2025-09-27,819,409,ML Frameworks / Libraries,2141,Yes
microsoft/hummingbird,Y,3481,481,14949,The source code of this project has been organised into different modules in a way that shows the relationship between different files,https://github.com/microsoft/hummingbird/graphs/contributors shows that there are multiple contributors,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a well-maintained README, and the majority of the functions in https://github.com/microsoft/hummingbird/blob/master/hummingbird/ml/convert.py and https://github.com/microsoft/hummingbird/blob/master/hummingbird/ml/operator_converters/skl_decision_tree.py and https://github.com/microsoft/hummingbird/blob/master/hummingbird/ml/ir_converters/topology.py have appropriate docstrings",https://github.com/microsoft/hummingbird/graphs/commit-activity shows that there have been few activities in the past few months with some activities in the last month.,"The project maintainers respond to issues, as evidenced by https://github.com/microsoft/hummingbird/issues/184 and https://github.com/microsoft/hummingbird/issues/181",https://github.com/microsoft/hummingbird/blob/master/LICENSE,There are many files related to testing,2025-07-17,31,35,ML Frameworks / Libraries,2092,Yes
microsoft/MMdnn,Y,5813,1085,27846,The source code of this project has been organised into different modules in a way that shows the relationship between different files,https://github.com/microsoft/MMdnn/graphs/contributors shows there are multiple contributors,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a well-maintained README, and the some of the functions in https://github.com/microsoft/MMdnn/blob/master/mmdnn/conversion/keras/extra_layers.py and https://github.com/microsoft/MMdnn/blob/master/mmdnn/conversion/paddle/paddle_parser.py have appropriate docstrings",https://github.com/microsoft/MMdnn/graphs/commit-activity shows there have been activities in the past few months,"The project maintainers respond to issues, as evidenced by https://github.com/microsoft/MMdnn/issues/856 and https://github.com/microsoft/MMdnn/issues/853",https://github.com/microsoft/MMdnn/blob/master/LICENSE,There are many files related to testing,2025-08-07,14,65,ML Frameworks / Libraries,3031,Yes
microsoft/Windows-Machine-Learning,Y,1097,1731,562,The source code of this project has been organised into different modules in a way that shows the relationship between different files,https://github.com/microsoft/Windows-Machine-Learning/graphs/contributors shows there are multiple contributors,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",There is a well-maintained README but most of the functions in the source code are not documented.,https://github.com/microsoft/Windows-Machine-Learning/graphs/commit-activity shows there have been activities in the past few months,"The project maintainers respond to issues, as evidenced by https://github.com/microsoft/MMdnn/issues/856 and https://github.com/microsoft/MMdnn/issues/853",https://github.com/microsoft/Windows-Machine-Learning/blob/master/LICENSE,There are many files related to testing,2025-08-07,101,47,ML Frameworks / Libraries,2834,Yes
mindsdb/mindsdb,Y,36195,19670,134139,The source code of this project has been organised into different modules in a way that shows the relationship between different files,https://github.com/mindsdb/mindsdb/graphs/contributors shows that there are multiple contributors but mainly 2,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",There is a well-maintained README but most of the functions in the source code are not documented.,https://github.com/mindsdb/mindsdb/graphs/commit-activity shows that there have been some activities in the past months.,"The project maintainers respond to issues, as evidenced by https://github.com/mindsdb/mindsdb/issues/560 and https://github.com/mindsdb/mindsdb/issues/550",https://github.com/mindsdb/mindsdb/blob/stable/LICENSE,There are many files related to testing,2025-09-25,326,791,Natural Language Processing,2680,Yes
MIPT-Oulu/solt,Y,265,443,4768,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/MIPT-Oulu/solt/graphs/contributors shows that there are multiple contributors,The project uses Travis CI,There is a well-maintained documentation,No evidence of sustained commit activity,"The project maintainers respond to issues, as evidenced by https://github.com/MIPT-Oulu/solt/issues/73 and https://github.com/MIPT-Oulu/solt/issues/59 but not often",https://github.com/MIPT-Oulu/solt/blob/master/LICENSE is provided.,There are files related to testing.,2025-06-01,9,6,Computer Vision,2680,Yes
MITK/MITK,Y,776,46189,55,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/MITK/MITK/graphs/contributors shows that there are multiple contributors,The project uses CTest from CMake,There is a well-maintained documentation,Evidence of sustained commit activity,Issues tab disabled but maintainers do respond to pull requests,https://github.com/MITK/MITK/blob/master/LICENSE is provided.,There are many files related to testing.,2025-08-25,4,61,Domain-Specific Applications,5314,No
mittagessen/kraken,Y,888,2290,13974,The source code of this project has been organised into different modules in a way that shows the relationship between different files,https://github.com/mittagessen/kraken/graphs/contributors shows there are multiple contributors but mainly 1,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a well-maintained README, and the majority of the functions in https://github.com/mittagessen/kraken/blob/master/kraken/pageseg.py and https://github.com/mittagessen/kraken/blob/master/kraken/repo.py and https://github.com/mittagessen/kraken/blob/master/kraken/rpred.py have appropriate docstrings",https://github.com/mittagessen/kraken/graphs/commit-activity shows that there have been activties in the past few months consistently,"The project maintainers respond to issues, as evidenced by https://github.com/mittagessen/kraken/issues/214 and https://github.com/mittagessen/kraken/issues/209",https://github.com/mittagessen/kraken/blob/master/LICENSE,There are many files related to testing,2025-09-25,38,27,Computer Vision,3851,Yes
mlflow/mlflow,Y,22264,8857,320527,The source code of this project has been organised into different modules in a way that shows the relationship between different files with ad hoc scripts,https://github.com/mlflow/mlflow/graphs/contributors shows that there are multiple contributors,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a well-maintained README, and the majority of the functions in https://github.com/mlflow/mlflow/blob/master/mlflow/models/model.py and https://github.com/mlflow/mlflow/blob/master/mlflow/models/flavor_backend.py and https://github.com/mlflow/mlflow/blob/master/mlflow/tracking/fluent.py have appropriate docstrings",https://github.com/mlflow/mlflow/graphs/commit-activity show that there have been significant amount of activities in the past few months consistently,"The project maintainers respond to issues, as evidenced by https://github.com/mlflow/mlflow/issues/3053 and https://github.com/mlflow/mlflow/issues/3052",https://github.com/mlflow/mlflow/blob/master/LICENSE.txt,There are many files related to testing,2025-09-28,312,849,MLOps / Deployment,2738,Yes
mljar/mljar-supervised,Y,3205,1239,19321,The source code of this project has been organised into different modules in a way that shows the relationship between different files with ad hoc scripts,There are no contributors to the project other than the author,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",There is a well-maintained README but most of the functions in the source code are not documented.,https://github.com/mljar/mljar-supervised/graphs/commit-activity shows that there have been some activities in the past months.,"The project maintainers respond to issues, as evidenced by https://github.com/mljar/mljar-supervised/issues/110 and https://github.com/mljar/mljar-supervised/issues/109",https://github.com/mljar/mljar-supervised/blob/master/LICENSE,There are many files related to testing,2025-07-07,5,27,Data Science / Traditional ML,2585,Yes
mlmed/torchxrayvision,Y,1062,414,6002,The source code of this project has been organised into different modules in a way that shows the relationship between different files with ad hoc scripts,https://github.com/mlmed/torchxrayvision/graphs/contributors shows there are multiple contributors but mainly 1,CI is not used on the project,There is a well-maintained README but most of the functions in the source code are not documented.,https://github.com/mlmed/torchxrayvision/graphs/commit-activity shows that there have been some activities in the past months.,"The project maintainers respond to issues, as evidenced by https://github.com/mlmed/torchxrayvision/issues/21 and https://github.com/mlmed/torchxrayvision/issues/13",https://github.com/mlmed/torchxrayvision/blob/master/LICENSE,One test file,2025-09-18,7,9,Computer Vision,2100,Yes
mlperf/inference,N,1467,1824,52082,The source code of the project exists as ad-hoc scripts.,https://github.com/mlperf/inference/graphs/contributors shows that there are multiple contributors,CI is not used on the project,There is a well-maintained README but most of the functions in the source code are not documented.,https://github.com/mlperf/inference/graphs/commit-activity shows that there have been some activities in the past months.,"The project maintainers respond to issues, as evidenced by https://github.com/mlperf/inference/issues/640 and https://github.com/mlperf/inference/issues/638",https://github.com/mlperf/inference/blob/master/LICENSE.md,There are many files related to testing,2025-09-24,100,113,ML Frameworks / Libraries,2639,Yes
mlperf/training,N,1715,379,78482,The source code of this project has been organised into different modules in a way that shows the relationship between different files with ad hoc scripts,https://github.com/mlperf/training/graphs/contributors shows that there are multiple contributors,CI is not used on the project,"There is a well-maintained README, and the majority of the functions in https://github.com/mlperf/training/blob/master/image_classification/tensorflow/official/resnet/imagenet_preprocessing.py and https://github.com/mlperf/training/blob/master/recommendation/pytorch/alias_generator.py and https://github.com/mlperf/training/blob/master/image_classification/tensorflow/official/resnet/resnet_model.py have appropriate docstrings",https://github.com/mlperf/training/graphs/commit-activity shows that there have been some activities in the past months.,"The project maintainers respond to issues, not so actively, as evidenced by https://github.com/mlperf/training/issues/382 and https://github.com/mlperf/training/issues/373",https://github.com/mlperf/training/blob/master/LICENSE.md,there is no evidence of any testing done on the project.,2025-09-22,51,62,ML Frameworks / Libraries,2806,Yes
mozilla/bugbug,Y,547,6468,28261,The source code of this project has been organised into different modules in a way that shows the relationship between different files,https://github.com/mozilla/bugbug/graphs/contributors shows there are multiple contributors but mainly 1,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",There is a well-maintained README but most of the functions in the source code are not documented.,https://github.com/mozilla/bugbug/graphs/commit-activity shows that there have been activties in the past few months consistently,"The project maintainers respond to issues, not so actively, as evidenced by https://github.com/mozilla/bugbug/issues/1642 and https://github.com/mozilla/bugbug/issues/1641",https://github.com/mozilla/bugbug/blob/master/LICENSE,There are many files related to testing,2025-09-26,30,111,Natural Language Processing,2823,Yes
mozilla/DeepSpeech,Y,26614,3467,8842,The source code of this project has been organised into different modules in a way that shows the relationship between different files with ad hoc scripts,https://github.com/mozilla/DeepSpeech/graphs/contributors shows there are multiple contributors,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",There is a README but someof the functions in the https://github.com/mozilla/DeepSpeech/blob/master/training/deepspeech_training/util/augmentations.py have docstrings,https://github.com/mozilla/DeepSpeech/graphs/commit-activity shows that there have been activties in the past few months consistently,"The project maintainers respond to issues, not so actively, as evidenced by https://github.com/mozilla/DeepSpeech/issues?q=is%3Aissue+author%3Atilmankamp and https://github.com/mozilla/DeepSpeech/issues/3143",https://github.com/mozilla/DeepSpeech/blob/master/LICENSE,There are files related to testing,2025-06-19,63,128,ML Frameworks / Libraries,3471,Yes
mpariente/asteroid,Y,2462,918,19013,The source code of this project has been organised into different modules in a way that shows the relationship between different files,https://github.com/mpariente/asteroid/graphs/contributors shows there are multiple contributors but mainly 1,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",There is a well-maintained README and most of the functions in https://github.com/mpariente/asteroid/blob/master/asteroid/masknn/consistency.py and https://github.com/mpariente/asteroid/blob/master/asteroid/masknn/convolutional.py and https://github.com/mpariente/asteroid/blob/master/asteroid/engine/optimizers.py have appropriate docstrings,https://github.com/mpariente/asteroid/graphs/commit-activity shows that there have been some activities in the past months.,"The project maintainers respond to issues, not so actively, as evidenced by https://github.com/mpariente/asteroid/issues/161 and https://github.com/mpariente/asteroid/issues/158",https://github.com/mpariente/asteroid/blob/master/LICENSE,There are many files related to testing,2025-07-23,18,54,ML Frameworks / Libraries,2238,Yes
namisan/mt-dnn,Y,2255,582,13012,The source code of this project has been organised into different modules in a way that shows the relationship between different files with ad hoc scripts,https://github.com/namisan/mt-dnn/graphs/contributors shows there are multiple contributors,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",There is a well-maintained README but most of the functions in the source code are not documented.,https://github.com/namisan/mt-dnn/graphs/commit-activity shows that there have been activties in the past few months consistently,"The project maintainers respond to issues, not so actively, as evidenced by https://github.com/namisan/mt-dnn/issues/177 and https://github.com/namisan/mt-dnn/issues/174",https://github.com/namisan/mt-dnn/blob/master/LICENSE,There are files related to testing,2024-03-07,9,17,Natural Language Processing,2479,Yes
nanoporetech/medaka,Y,482,1494,13952,The source code of this project has been organised into different modules in a way that shows the relationship between different files,https://github.com/nanoporetech/medaka/graphs/contributors shows there are multiple contributors,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",There is a well-maintained README and most of the functions in https://github.com/nanoporetech/medaka/blob/master/src/medaka_trimbam.h and https://github.com/nanoporetech/medaka/blob/master/src/medaka_trimbam.c and https://github.com/nanoporetech/medaka/blob/master/medaka/keras_ext.py have appropriate docstrings,https://github.com/nanoporetech/medaka/graphs/commit-activity shows that there have been activties in the past few months consistently,"The project maintainers respond to issues, not so actively, as evidenced by https://github.com/nanoporetech/medaka/issues/176 and https://github.com/nanoporetech/medaka/issues/175",https://github.com/nanoporetech/medaka/blob/master/LICENSE.md,There are many files related to testing,2025-08-19,2,18,Domain-Specific Applications,3101,Yes
NLeSC/mcfly,Y,365,936,1749,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/NLeSC/mcfly/graphs/contributors shows that there are multiple contributors,The project uses Travis CI and appveyor CI,There is a well-maintained documentation,Little evidence of sustained commit activity,"The project maintainers respond to issues, as evidenced by https://github.com/MisaOgura/flashtorch/issues/23 and https://github.com/MisaOgura/flashtorch/issues/24",https://github.com/NLeSC/mcfly/blob/master/LICENSE is provided.,There are many files related to testing.,2025-07-28,10,15,Domain-Specific Applications,3485,Yes
norse/norse,Y,759,412,14090,The source code of this project has been organised into different modules in a way that shows the relationship between different files,https://github.com/norse/norse/graphs/contributors shows there are multiple contributors but mainly 2,CI is not used on the project,There is a well-maintained README and most of the functions in https://github.com/norse/norse/blob/master/norse/torch/module/encode.py and https://github.com/norse/norse/blob/master/norse/torch/module/leaky_integrator.py and https://github.com/norse/norse/blob/master/norse/torch/functional/superspike.py have appropriate docstrings,https://github.com/norse/norse/graphs/commit-activity shows there are some activities in the past few months,"The project maintainers respond to issues, not so actively, as evidenced by https://github.com/norse/norse/issues/81 and https://github.com/norse/norse/issues/71",https://github.com/norse/norse/blob/master/LICENSE,there is no evidence of any testing done on the project.,2025-09-23,32,24,ML Frameworks / Libraries,2204,Yes
nussl/nussl,Y,640,1030,15649,The source code of this project has been organised into different modules in a way that shows the relationship between different files,https://github.com/nussl/nussl/graphs/contributors shows there are multiple contributors,CI is not used on the project,There is a well-maintained README and most of the functions in https://github.com/nussl/nussl/blob/master/nussl/core/audio_signal.py and https://github.com/nussl/nussl/blob/master/nussl/ml/networks/separation_model.py and https://github.com/nussl/nussl/blob/master/nussl/ml/networks/builders.py have appropriate docstrings,https://github.com/nussl/nussl/graphs/commit-activity shows there are activities in the past few months,"The project maintainers respond to issues, not so actively, as evidenced by https://github.com/nussl/nussl/issues/160 and https://github.com/nussl/nussl/issues/159",https://github.com/nussl/nussl/blob/master/LICENSE.md,There are many files related to testing,2024-12-09,8,10,Domain-Specific Applications,3815,Yes
nutonomy/nuscenes-devkit,Y,2566,238,14748,The source code of this project has been organised into different modules in a way that shows the relationship between different files,https://github.com/nutonomy/nuscenes-devkit/graphs/contributors shows there are multiple contributors but mainly 1,CI is not used on the project,There is a well-maintained README and most of the functions in https://github.com/nutonomy/nuscenes-devkit/blob/master/python-sdk/nuscenes/prediction/models/covernet.py and https://github.com/nutonomy/nuscenes-devkit/blob/master/python-sdk/nuscenes/prediction/models/backbone.py and https://github.com/nutonomy/nuscenes-devkit/blob/master/python-sdk/nuscenes/can_bus/can_bus_api.py have appropriate docstrings,https://github.com/nutonomy/nuscenes-devkit/graphs/commit-activity shows that there have been significant amount of activties in the past few months consistently,0,https://github.com/nutonomy/nuscenes-devkit/blob/master/LICENSE.txt,There are many files related to testing,2025-08-28,11,37,Domain-Specific Applications,2645,Yes
NVIDIA/DeepLearningExamples,Y,14500,1437,294144,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/NVIDIA/DeepLearningExamples/graphs/contributors shows that there are multiple contributors,CI is not used on the project.,There is a well-maintained documentation,Evidence of sustained commit activity,"The project maintainers respond to issues, as evidenced by https://github.com/NVIDIA/DeepLearningExamples/issues/508 and https://github.com/NVIDIA/DeepLearningExamples/issues/451",There are multiple license files as there are multiple projects for this,There is no evidence of any testing done on the project.,2024-04-04,16,104,Natural Language Processing,2772,Yes
NVIDIA/Megatron-LM,Y,13712,7253,135466,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/NVIDIA/Megatron-LM/graphs/contributors shows that there are multiple contributors,CI is not used on the project.,There is a well-maintained documentation,Little evidence of sustained commit activity,The project maintainers only respond to some issues,https://github.com/NVIDIA/Megatron-LM/blob/master/LICENSE is provided.,There are files related to testing but everywhere,2025-09-27,33,177,Natural Language Processing,2449,Yes
NVIDIA/NeMo,Y,15770,8996,422797,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/NVIDIA/NeMo/graphs/contributors shows that there are multiple contributors,The project uses Jenkins CI,There is a well-maintained documentation,Evidence of sustained commit activity,"The project maintainers respond to issues, as evidenced by https://github.com/NVIDIA/NeMo/issues/631 and https://github.com/NVIDIA/NeMo/issues/771",https://github.com/NVIDIA/NeMo/blob/master/LICENSE is provided.,There are many files related to testing.,2025-09-26,1339,435,Natural Language Processing,2312,Yes
NVIDIA/TRTorch,Y,2865,4650,91885,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/NVIDIA/TRTorch/graphs/contributors shows that there are multiple contributors,CI is not used on the project.,There is a well-maintained documentation,Evidence of sustained commit activity,"The project maintainers respond to issues, as evidenced by https://github.com/NVIDIA/TRTorch/issues/98 and https://github.com/NVIDIA/TRTorch/issues/84 but not often",https://github.com/NVIDIA/TRTorch/blob/master/LICENSE is provided.,There are many files related to testing.,2025-09-26,873,101,ML Frameworks / Libraries,2093,Yes
NVIDIAGameWorks/kaolin,Y,4911,386,42464,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/NVIDIAGameWorks/kaolin/graphs/contributors shows that there are multiple contributors,The project uses Gitlab CI,There is a well-maintained documentation,Little evidence of sustained commit activity,"The project maintainers respond to issues, as evidenced by https://github.com/NVIDIAGameWorks/kaolin/issues/249 and https://github.com/NVIDIAGameWorks/kaolin/issues/142",https://github.com/NVIDIAGameWorks/kaolin/blob/master/LICENSE is provided.,There are many files related to testing.,2025-08-26,12,29,ML Frameworks / Libraries,2211,Yes
onnx/onnxmltools,Y,1113,336,25210,The source code of this project has been organised into different modules in a way that shows the relationship between different files,https://github.com/onnx/onnxmltools/graphs/contributors shows there are multiple contributors,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",There is a well-maintained README and some of the functions in https://github.com/onnx/onnxmltools/blob/master/onnxmltools/convert/libsvm/convert.py and https://github.com/onnx/onnxmltools/blob/master/onnxmltools/utils/main.py have appropriate docstrings,https://github.com/onnx/onnxmltools/graphs/commit-activity shows that there have been significant amount of activties in the past few months consistently,"The project maintainers respond to issues, not so actively, as evidenced by https://github.com/onnx/onnxmltools/issues/405 and https://github.com/onnx/onnxmltools/issues/403",https://github.com/onnx/onnxmltools/blob/master/LICENSE,There are many files related to testing,2025-06-10,21,46,ML Frameworks / Libraries,2847,Yes
