repo_name,loc,size_category,total_smells,smell_density,hyperparameters_not_explicitly_set,gradients_not_cleared_before_backward_propagation,columns_and_datatype_not_explicitly_set,in_place_apis_misused,Chain_Indexing,matrix_multiplication_api_misused,pytorch_call_method_misused,dataframe_conversion_api_misused,nan_equivalence_comparison_misused,unnecessary_iteration,merge_api_parameter_not_explicitly_set,memory_not_freed,empty_column_misinitialization,Broadcasting_Feature_Not_Used,deterministic_algorithm_option_not_used,tensor_array_not_used,total_smells_filtered,Commits,Created Date,Last Commit Date,age_days,created_dt,last_commit_dt,duration_months,commits_per_month,activity_level
pytorch/builder,685,small,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2799,2016-09-02T17:02:21Z,2025-08-12,3379,2016-09-02 17:02:21+00:00,2025-08-12 00:00:00+00:00,111.00525624178712,25.215022195915953,High Activity
pytorch/examples,7428,small,21,2.2886375875067313,4.0,12.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,835,2016-08-24T03:12:48Z,2025-09-01,3388,2016-08-24 03:12:48+00:00,2025-09-01 00:00:00+00:00,111.30091984231274,7.502184179456908,Low Activity
robertness/causalML,2330,small,19,8.15450643776824,0.0,0.0,6.0,1.0,7.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,367,2018-12-17T05:22:47Z,2024-07-28,2543,2018-12-17 05:22:47+00:00,2024-07-28 00:00:00+00:00,83.54139290407359,4.393031852143138,Low Activity
RussTedrake/underactuated,5955,small,5,0.8396305625524769,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1915,2014-09-01T00:43:31Z,2025-08-28,4112,2014-09-01 00:43:31+00:00,2025-08-28 00:00:00+00:00,135.08541392904073,14.176215953307395,Low Activity
rusty1s/pytorch_scatter,1450,small,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1049,2017-12-16T16:34:23Z,2025-08-12,2909,2017-12-16 16:34:23+00:00,2025-08-12 00:00:00+00:00,95.56504599211563,10.976816775524236,Low Activity
SeldonIO/seldon-core,3289,small,3,0.9121313469139556,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1207,2017-12-20T14:51:54Z,2025-09-26,2905,2017-12-20 14:51:54+00:00,2025-09-26 00:00:00+00:00,95.43363994743758,12.647531841652324,Low Activity
sigopt/sigopt-examples,5255,small,1,0.19029495718363465,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,601,2015-02-24T03:29:25Z,2024-04-29,3935,2015-02-24 03:29:25+00:00,2024-04-29 00:00:00+00:00,129.2706964520368,4.649158831003812,Low Activity
sisl/NeuralVerification.jl,61,small,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,932,2018-08-09T23:49:40Z,2025-05-01,2673,2018-08-09 23:49:40+00:00,2025-05-01 00:00:00+00:00,87.81208935611038,10.613572764683877,Low Activity
snipsco/tract,1472,small,6,4.076086956521739,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,8101,2017-08-07T09:31:26Z,2025-09-26,3040,2017-08-07 09:31:26+00:00,2025-09-26 00:00:00+00:00,99.86859395532194,81.11659210526317,High Activity
snorkel-team/snorkel,7633,small,55,7.205554827721735,0.0,3.0,42.0,4.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,2693,2016-02-26T05:52:45Z,2024-02-27,3568,2016-02-26 05:52:45+00:00,2024-02-27 00:00:00+00:00,117.21419185282522,22.975033632286998,High Activity
